1,Denver Broncos,18,1,7,27
2,Philadelphia Eagles,1,2,10,32
3,Green Bay Packers,4,3,25,24,
4,Chicago Bears,7,4,32,15
5,New Orleans Saints,26,5,19,2
6,San Diego Chargers,21,6,12,29
7,Detroit Lions,22,7,6,23
8,Dallas Cowboys,8,8,30,27
9,Seattle Seahawks,12,9,8,1
10,New England Patriots,11,10,30,18
11,Cincinnati Bengals,27,11,5,5
12,Minnesota Vikings,2,12,16,31
13,Atlanta Falcons,24,13,31,21
14,San Francisco 49ers,9,14,4,7
15,Washington Redskins,3,15,17,20
16,Arizona Cardinals,28,16,1,14
17,Indianapolis Colts,13,17,26,13
18,Pittsburgh Steelers,29,18,21,9
19,Oakland Raiders,6,19,13,28
20,Kansas City Chiefs,5,20,22,25
21,Tennessee Titans,17,21,20,11
22,Houston Texans,16,22,23,3
23,Carolina Panthers,15,23,2,6
24,Cleveland Browns,23,24,18,8
25,New York Jets,10,25,3,22
26,Miami Dolphins,20,26,24,16
27,New York Giants,30,27,14,10
28,St. Louis Rams,19,28,9,19
29,Buffalo Bills,14,29,28,4
30,Jacksonville Jaguars,31,30,29,26
31,Baltimore Ravens,32,31,11,12
32,Tampa Bay Buccaneers,25,32,15,17
